,37013,,37027,,37069,,37072,,37076,,37080,,37115,,37138,,37189,,37201,,37203,,37204,,37205,,37206,,37207,,37208,,37209,,37210,,37211,,37212,,37213,,37214,,37215,,37216,,37217,,37218,,37219,,37220,,37221,,37228,
,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error
Total:,100.00%,2.27%,100.00%,1.89%,100.00%,3.83%,100.00%,3.30%,100.00%,2.66%,100.00%,6.72%,100.00%,3.44%,100.00%,3.59%,100.00%,12.01%,100.00%,22.59%,100.00%,7.21%,100.00%,6.24%,100.00%,3.66%,100.00%,4.37%,100.00%,4.00%,100.00%,5.82%,100.00%,4.33%,100.00%,5.72%,100.00%,2.70%,100.00%,6.18%,100.00%,156.58%,100.00%,3.13%,100.00%,4.36%,100.00%,4.99%,100.00%,5.09%,100.00%,5.25%,100.00%,29.17%,100.00%,5.98%,100.00%,2.49%,100.00%,25.89%
Male:,46.76%,1.59%,48.22%,1.32%,47.02%,2.47%,46.44%,2.17%,47.58%,1.91%,52.15%,4.29%,47.48%,2.74%,47.60%,2.30%,40.36%,6.34%,72.71%,18.62%,51.80%,5.11%,46.00%,4.25%,46.21%,2.60%,46.33%,2.67%,44.07%,3.03%,42.83%,4.16%,47.83%,2.93%,48.16%,4.16%,51.50%,1.84%,49.46%,4.77%,100.00%,156.58%,47.18%,2.73%,44.53%,2.57%,49.82%,3.78%,49.76%,2.97%,43.84%,3.79%,56.24%,17.63%,49.09%,3.93%,44.82%,1.69%,37.34%,18.26%
No schooling completed,1.29%,0.32%,0.11%,0.15%,0.17%,0.19%,0.48%,0.24%,0.29%,0.21%,1.56%,1.12%,1.29%,0.60%,0.46%,0.42%,0.00%,0.38%,0.00%,0.95%,0.32%,0.29%,0.26%,0.22%,0.00%,0.13%,0.62%,0.37%,1.14%,0.54%,0.48%,0.27%,0.64%,0.32%,1.29%,0.65%,1.37%,0.35%,0.25%,0.38%,0.00%,15.79%,0.31%,0.30%,0.04%,0.07%,0.15%,0.19%,0.79%,0.47%,0.61%,0.49%,0.00%,1.26%,0.00%,0.40%,0.30%,0.22%,0.00%,0.97%
Nursery to 4th grade,0.36%,0.23%,0.03%,0.05%,0.00%,0.17%,0.13%,0.13%,0.29%,0.26%,0.00%,0.30%,0.65%,0.63%,0.00%,0.14%,0.00%,0.38%,0.00%,0.95%,0.16%,0.36%,0.06%,0.08%,0.19%,0.20%,0.14%,0.21%,0.22%,0.19%,0.07%,0.09%,0.28%,0.27%,0.58%,0.51%,0.58%,0.27%,0.07%,0.10%,0.00%,15.79%,0.09%,0.12%,0.04%,0.08%,0.32%,0.29%,0.21%,0.22%,0.00%,0.16%,0.00%,1.26%,0.00%,0.40%,0.23%,0.27%,0.00%,0.97%
5th and 6th grade,0.68%,0.25%,0.06%,0.10%,0.07%,0.12%,0.40%,0.27%,0.28%,0.28%,1.01%,1.05%,1.21%,0.59%,0.09%,0.15%,0.00%,0.38%,1.35%,1.51%,0.00%,0.17%,0.02%,0.04%,0.00%,0.13%,0.19%,0.20%,0.36%,0.26%,0.19%,0.35%,0.21%,0.23%,1.90%,0.99%,1.60%,0.59%,0.00%,0.22%,0.00%,15.79%,0.10%,0.16%,0.04%,0.05%,0.19%,0.21%,0.66%,0.34%,0.67%,0.64%,0.00%,1.26%,0.00%,0.40%,0.00%,0.09%,0.00%,0.97%
7th and 8th grade,0.78%,0.30%,0.29%,0.40%,0.00%,0.17%,0.91%,0.41%,0.05%,0.07%,1.40%,0.90%,1.45%,0.79%,1.26%,0.92%,0.19%,0.38%,3.02%,4.06%,0.69%,0.67%,0.00%,0.19%,0.02%,0.06%,0.30%,0.24%,0.74%,0.45%,0.73%,0.60%,0.94%,0.54%,0.61%,0.50%,1.81%,0.53%,0.15%,0.22%,0.00%,15.79%,0.23%,0.16%,0.10%,0.16%,0.32%,0.38%,2.07%,0.99%,1.46%,0.87%,0.00%,1.26%,0.00%,0.40%,0.19%,0.15%,0.00%,0.97%
9th grade,0.61%,0.25%,0.07%,0.11%,0.00%,0.17%,0.68%,0.44%,0.83%,0.52%,1.63%,1.44%,1.51%,0.58%,0.34%,0.48%,0.41%,0.67%,1.19%,1.99%,1.40%,0.70%,0.41%,0.42%,0.26%,0.28%,0.74%,0.67%,0.65%,0.30%,0.81%,0.72%,0.62%,0.32%,2.18%,0.87%,1.73%,0.48%,0.33%,0.41%,0.00%,15.79%,0.32%,0.30%,0.00%,0.14%,0.74%,0.52%,0.94%,0.52%,0.66%,0.49%,0.00%,1.26%,0.00%,0.40%,0.45%,0.41%,0.00%,0.97%
10th grade,0.69%,0.33%,0.01%,0.02%,0.07%,0.10%,0.73%,0.39%,0.96%,0.45%,2.22%,1.24%,1.01%,0.38%,0.79%,0.44%,0.19%,0.45%,3.82%,1.75%,0.99%,0.84%,0.00%,0.19%,0.12%,0.19%,0.95%,0.61%,0.46%,0.27%,1.09%,0.66%,1.14%,0.52%,1.49%,0.74%,1.16%,0.37%,0.00%,0.22%,0.00%,15.79%,0.98%,0.49%,0.12%,0.14%,1.40%,0.93%,0.92%,0.52%,1.35%,0.74%,0.00%,1.26%,0.16%,0.28%,0.23%,0.19%,8.20%,9.17%
11th grade,0.53%,0.28%,0.03%,0.05%,0.05%,0.07%,0.95%,0.45%,0.97%,0.54%,3.58%,1.79%,2.06%,0.75%,1.46%,0.95%,1.15%,0.86%,1.91%,1.67%,1.71%,0.93%,0.83%,0.60%,0.09%,0.10%,0.82%,0.59%,2.24%,0.78%,1.46%,0.75%,1.63%,0.55%,1.36%,0.73%,1.04%,0.32%,0.41%,0.32%,0.00%,15.79%,0.58%,0.35%,0.15%,0.20%,1.34%,0.89%,0.45%,0.34%,1.92%,0.95%,0.00%,1.26%,0.00%,0.40%,0.34%,0.22%,2.92%,3.49%
"12th grade, no diploma",1.06%,0.24%,0.17%,0.14%,0.34%,0.33%,0.88%,0.39%,1.00%,0.43%,1.12%,0.76%,1.02%,0.45%,1.01%,0.59%,1.27%,0.89%,0.08%,0.16%,1.21%,0.76%,0.13%,0.15%,0.20%,0.17%,0.13%,0.17%,1.33%,0.62%,1.04%,0.57%,0.38%,0.22%,1.21%,0.85%,1.08%,0.31%,0.65%,0.47%,0.00%,15.79%,0.69%,0.34%,0.32%,0.50%,0.70%,0.41%,0.87%,0.52%,1.86%,1.12%,0.00%,1.26%,0.00%,0.40%,0.32%,0.17%,0.00%,0.97%
High school graduate (includes equivalency),13.57%,1.30%,3.24%,0.53%,3.08%,0.75%,14.39%,1.70%,12.55%,1.67%,17.38%,3.17%,16.58%,1.68%,11.21%,2.09%,14.65%,4.40%,19.49%,7.08%,6.83%,1.49%,2.62%,0.89%,2.96%,0.78%,10.37%,1.77%,16.39%,2.18%,11.69%,2.03%,10.65%,1.19%,13.45%,2.14%,12.07%,1.26%,4.40%,1.78%,71.05%,152.63%,11.49%,1.78%,1.56%,0.60%,11.57%,2.16%,15.92%,2.31%,14.90%,2.99%,5.46%,6.40%,6.59%,2.99%,6.56%,1.04%,5.60%,5.44%
"Some college, less than 1 year",2.38%,0.51%,1.31%,0.45%,1.73%,0.79%,3.37%,0.75%,2.73%,0.71%,3.26%,1.38%,3.20%,0.86%,3.57%,1.06%,2.17%,1.37%,2.86%,4.22%,1.50%,0.78%,1.08%,0.54%,1.07%,0.43%,2.98%,1.04%,1.94%,0.64%,1.72%,0.78%,1.83%,0.53%,1.98%,0.80%,1.61%,0.30%,1.45%,1.22%,0.00%,15.79%,2.55%,0.73%,1.88%,1.02%,2.74%,0.95%,3.54%,1.12%,2.24%,0.88%,0.00%,1.26%,2.64%,1.75%,1.46%,0.43%,0.00%,0.97%
"Some college, 1 or more years, no degree",7.34%,0.87%,3.55%,0.57%,5.26%,1.20%,6.05%,1.20%,7.29%,1.26%,6.50%,2.02%,7.56%,1.28%,7.17%,1.69%,5.35%,2.64%,10.82%,5.33%,5.85%,2.46%,4.43%,1.47%,4.35%,1.01%,5.81%,1.36%,7.08%,1.52%,6.02%,1.92%,7.09%,1.63%,6.39%,1.54%,6.50%,0.92%,6.05%,2.33%,0.00%,15.79%,8.01%,1.41%,2.91%,1.07%,8.27%,1.57%,7.54%,1.24%,8.41%,2.33%,7.97%,7.87%,4.75%,1.87%,7.20%,1.08%,5.93%,6.66%
Associate's degree,3.81%,0.71%,1.49%,0.44%,1.49%,0.52%,3.51%,1.03%,2.68%,0.60%,2.20%,1.05%,2.73%,0.77%,2.92%,0.94%,1.56%,1.21%,2.23%,2.70%,1.41%,0.93%,2.64%,1.32%,1.59%,0.61%,1.38%,0.53%,2.33%,0.62%,1.18%,0.61%,2.05%,0.65%,2.07%,0.81%,2.43%,0.42%,1.03%,0.85%,0.00%,15.79%,4.29%,1.19%,0.85%,0.50%,2.64%,0.92%,3.12%,0.95%,2.05%,0.95%,1.89%,2.94%,0.84%,0.79%,2.90%,0.68%,1.14%,1.95%
Bachelor's degree,9.81%,0.96%,20.92%,1.18%,20.16%,1.94%,9.77%,1.34%,13.06%,1.58%,7.04%,2.02%,5.51%,1.10%,11.51%,1.70%,8.67%,2.93%,23.07%,11.46%,16.75%,3.18%,20.54%,2.86%,18.96%,2.01%,15.39%,1.70%,7.12%,1.06%,7.73%,1.97%,12.85%,1.69%,11.11%,1.99%,12.70%,1.19%,15.95%,2.84%,28.95%,34.21%,13.62%,1.85%,16.02%,1.75%,14.69%,2.16%,10.68%,1.66%,5.09%,1.64%,22.14%,12.38%,19.03%,3.25%,14.19%,1.25%,7.71%,6.66%
Master's degree,3.05%,0.53%,10.87%,1.08%,9.04%,1.13%,2.85%,0.66%,3.27%,0.86%,2.04%,1.01%,1.26%,0.45%,3.50%,0.96%,3.73%,2.07%,1.43%,2.23%,6.99%,2.63%,7.57%,1.48%,7.76%,1.21%,4.23%,1.08%,1.59%,0.54%,6.06%,1.90%,4.23%,0.73%,0.90%,0.44%,4.38%,0.57%,9.34%,2.41%,0.00%,15.79%,2.79%,0.69%,7.13%,1.15%,3.36%,0.88%,1.44%,0.52%,1.40%,0.64%,3.99%,4.62%,8.16%,2.36%,6.10%,0.98%,1.22%,2.11%
Professional school degree,0.64%,0.44%,3.62%,0.51%,3.76%,0.96%,0.83%,0.41%,0.69%,0.28%,0.27%,0.30%,0.22%,0.15%,1.31%,0.72%,0.83%,0.76%,0.00%,0.95%,3.39%,1.28%,3.57%,1.11%,5.67%,1.22%,1.33%,0.51%,0.21%,0.22%,1.60%,0.79%,1.94%,0.68%,0.90%,0.69%,0.87%,0.25%,3.70%,1.16%,0.00%,15.79%,0.52%,0.25%,9.67%,1.48%,0.69%,0.35%,0.30%,0.16%,0.80%,0.78%,11.12%,8.71%,5.70%,1.80%,1.96%,0.45%,2.52%,3.17%
Doctorate degree,0.18%,0.12%,2.43%,0.47%,1.80%,0.64%,0.50%,0.34%,0.66%,0.43%,0.96%,0.74%,0.23%,0.16%,1.00%,0.48%,0.19%,0.32%,1.43%,2.31%,2.62%,0.95%,1.83%,0.64%,2.97%,0.74%,0.96%,0.52%,0.28%,0.19%,0.96%,0.56%,1.35%,0.61%,0.75%,0.65%,0.58%,0.22%,5.69%,1.61%,0.00%,15.79%,0.61%,0.33%,3.72%,0.82%,0.72%,0.36%,0.33%,0.26%,0.42%,0.28%,3.67%,5.88%,1.22%,0.79%,2.39%,0.54%,2.11%,2.52%
Female:,53.24%,1.69%,51.78%,1.12%,52.98%,2.13%,53.56%,2.31%,52.42%,1.94%,47.85%,3.51%,52.52%,2.24%,52.40%,2.35%,59.64%,7.61%,27.29%,12.41%,48.20%,4.62%,54.00%,4.06%,53.79%,2.42%,53.67%,3.47%,55.93%,2.44%,57.17%,4.50%,52.17%,3.08%,51.84%,3.24%,48.50%,1.68%,50.54%,3.89%,0.00%,15.79%,52.82%,1.50%,55.47%,2.99%,50.18%,2.87%,50.24%,3.46%,56.16%,2.99%,43.76%,16.58%,50.91%,3.55%,55.18%,1.95%,62.66%,21.83%
No schooling completed,1.63%,0.47%,0.19%,0.21%,0.00%,0.17%,0.65%,0.35%,0.65%,0.42%,0.94%,0.82%,1.01%,0.52%,0.34%,0.31%,0.00%,0.38%,0.00%,0.95%,0.09%,0.19%,0.37%,0.32%,0.05%,0.08%,0.67%,0.45%,1.10%,0.59%,1.23%,0.83%,0.66%,0.37%,1.10%,0.61%,1.56%,0.49%,0.23%,0.27%,0.00%,15.79%,0.43%,0.26%,0.00%,0.14%,0.09%,0.11%,1.93%,0.72%,0.40%,0.41%,0.00%,1.26%,0.00%,0.40%,0.62%,0.44%,0.00%,0.97%
Nursery to 4th grade,0.21%,0.13%,0.00%,0.08%,0.00%,0.17%,0.17%,0.23%,0.20%,0.19%,0.00%,0.30%,0.60%,0.31%,0.09%,0.15%,0.00%,0.38%,0.00%,0.95%,0.07%,0.12%,0.00%,0.19%,0.15%,0.22%,0.00%,0.12%,0.12%,0.12%,0.00%,0.16%,0.07%,0.11%,0.39%,0.26%,0.84%,0.31%,0.00%,0.22%,0.00%,15.79%,0.03%,0.08%,0.00%,0.14%,0.19%,0.31%,0.69%,0.50%,0.00%,0.16%,0.00%,1.26%,0.26%,0.37%,0.03%,0.05%,0.00%,0.97%
5th and 6th grade,0.85%,0.28%,0.04%,0.07%,0.00%,0.17%,0.31%,0.26%,0.10%,0.11%,0.00%,0.30%,0.85%,0.48%,0.08%,0.14%,0.45%,0.70%,0.00%,0.95%,0.00%,0.17%,0.18%,0.20%,0.00%,0.13%,0.22%,0.25%,1.13%,0.77%,0.27%,0.39%,0.28%,0.24%,1.03%,0.80%,0.84%,0.26%,0.00%,0.22%,0.00%,15.79%,0.15%,0.23%,0.00%,0.14%,0.04%,0.07%,0.83%,0.51%,0.12%,0.19%,0.00%,1.26%,0.00%,0.40%,0.09%,0.13%,0.24%,0.49%
7th and 8th grade,0.35%,0.18%,0.09%,0.07%,0.29%,0.46%,0.65%,0.46%,0.16%,0.19%,0.39%,0.37%,0.75%,0.42%,1.32%,0.79%,0.51%,0.80%,0.00%,0.95%,0.11%,0.14%,0.06%,0.09%,0.26%,0.27%,0.89%,0.62%,1.04%,0.51%,1.68%,0.72%,0.37%,0.32%,0.89%,0.49%,1.08%,0.34%,0.35%,0.36%,0.00%,15.79%,0.27%,0.24%,0.17%,0.18%,0.16%,0.15%,0.71%,0.37%,0.95%,0.85%,0.00%,1.26%,0.00%,0.40%,0.39%,0.26%,0.00%,0.97%
9th grade,0.71%,0.31%,0.12%,0.12%,0.00%,0.17%,0.46%,0.29%,0.48%,0.27%,2.00%,1.28%,1.03%,0.42%,0.40%,0.44%,0.22%,0.48%,0.00%,0.95%,0.24%,0.25%,0.24%,0.22%,0.05%,0.07%,0.41%,0.28%,1.27%,0.59%,2.20%,1.32%,0.28%,0.27%,1.44%,0.69%,0.83%,0.31%,0.21%,0.30%,0.00%,15.79%,0.21%,0.16%,0.13%,0.18%,0.64%,0.41%,0.23%,0.17%,0.65%,0.65%,0.00%,1.26%,0.00%,0.40%,0.13%,0.15%,1.46%,2.27%
10th grade,0.74%,0.26%,0.28%,0.24%,0.00%,0.17%,0.62%,0.30%,0.44%,0.28%,3.19%,1.61%,1.16%,0.49%,0.74%,0.69%,0.57%,0.61%,0.00%,0.95%,0.35%,0.37%,0.83%,0.56%,0.17%,0.15%,0.77%,0.56%,1.81%,0.80%,1.31%,0.87%,1.43%,0.55%,0.97%,0.61%,0.79%,0.27%,0.56%,0.45%,0.00%,15.79%,0.55%,0.33%,0.15%,0.19%,0.81%,0.52%,0.90%,0.41%,1.79%,0.84%,0.00%,1.26%,0.00%,0.40%,0.20%,0.18%,3.49%,5.68%
11th grade,0.49%,0.20%,0.10%,0.08%,0.13%,0.15%,0.93%,0.40%,0.42%,0.23%,1.06%,0.85%,1.59%,0.67%,1.63%,0.76%,0.00%,0.38%,0.00%,0.95%,1.02%,0.84%,0.62%,0.56%,0.19%,0.28%,1.34%,0.64%,1.45%,0.55%,2.72%,1.17%,1.08%,0.58%,1.57%,0.61%,0.44%,0.21%,0.39%,0.36%,0.00%,15.79%,0.41%,0.24%,0.07%,0.11%,0.92%,0.67%,1.18%,0.64%,1.80%,0.92%,0.00%,1.26%,0.00%,0.40%,0.54%,0.34%,0.00%,0.97%
"12th grade, no diploma",1.16%,0.31%,0.18%,0.09%,0.33%,0.30%,1.00%,0.41%,0.50%,0.31%,1.01%,0.69%,1.08%,0.41%,0.55%,0.42%,0.92%,0.83%,0.00%,0.95%,0.72%,0.40%,0.25%,0.30%,0.07%,0.07%,0.70%,0.42%,1.50%,0.54%,1.39%,0.87%,0.75%,0.33%,2.23%,1.02%,1.07%,0.31%,0.48%,0.44%,0.00%,15.79%,0.68%,0.35%,0.30%,0.28%,0.51%,0.32%,0.94%,0.38%,1.22%,0.73%,0.00%,1.26%,0.00%,0.40%,0.20%,0.13%,2.35%,3.73%
High school graduate (includes equivalency),12.04%,1.32%,4.25%,0.70%,4.75%,1.23%,15.31%,1.58%,11.13%,1.38%,16.48%,2.46%,17.39%,1.98%,13.54%,1.91%,12.71%,3.89%,0.00%,0.95%,5.62%,1.54%,4.40%,1.09%,3.75%,0.84%,9.28%,1.93%,17.90%,1.93%,11.65%,2.33%,9.53%,1.35%,15.62%,2.33%,10.76%,1.06%,4.45%,1.74%,0.00%,15.79%,12.85%,1.71%,3.07%,0.92%,10.08%,1.49%,12.56%,1.73%,13.92%,2.55%,0.00%,1.26%,4.60%,2.10%,7.84%,1.04%,15.83%,9.09%
"Some college, less than 1 year",2.67%,0.49%,2.01%,0.43%,2.03%,0.64%,5.21%,0.98%,3.72%,0.72%,2.69%,1.19%,2.91%,0.65%,3.45%,0.81%,3.70%,1.78%,5.01%,7.40%,2.70%,1.10%,1.13%,0.84%,1.92%,0.68%,3.08%,1.05%,4.04%,1.11%,2.82%,1.09%,1.67%,0.46%,2.59%,0.80%,2.24%,0.46%,2.39%,1.24%,0.00%,15.79%,4.11%,0.85%,0.71%,0.37%,2.62%,0.75%,2.71%,0.81%,5.01%,1.66%,0.00%,1.26%,1.05%,0.82%,2.22%,0.48%,0.00%,0.97%
"Some college, 1 or more years, no degree",7.84%,0.94%,4.33%,0.62%,5.34%,1.05%,9.05%,1.26%,8.20%,1.34%,6.91%,1.84%,7.96%,1.29%,7.28%,2.02%,10.16%,4.52%,5.25%,5.97%,5.03%,1.49%,5.54%,2.16%,5.00%,1.05%,7.96%,1.57%,9.30%,1.49%,9.26%,2.32%,6.22%,1.21%,7.44%,1.68%,6.21%,0.74%,3.07%,0.99%,0.00%,15.79%,7.01%,1.35%,6.50%,1.37%,7.37%,1.37%,6.91%,1.62%,10.05%,2.17%,7.24%,5.56%,5.84%,2.59%,7.11%,1.11%,12.18%,11.28%
Associate's degree,5.26%,0.77%,3.13%,0.51%,3.11%,0.86%,4.44%,1.17%,6.52%,1.29%,4.45%,1.52%,4.44%,1.10%,5.33%,1.46%,5.61%,2.55%,0.00%,0.95%,2.36%,1.15%,2.46%,0.89%,2.39%,0.65%,2.81%,0.91%,3.26%,0.81%,1.23%,0.67%,3.85%,0.86%,3.72%,1.22%,3.21%,0.56%,2.72%,1.43%,0.00%,15.79%,4.45%,1.21%,1.07%,0.42%,4.33%,1.05%,3.75%,0.99%,3.40%,1.20%,2.20%,3.57%,3.69%,2.48%,3.88%,0.75%,1.14%,1.79%
Bachelor's degree,13.16%,1.37%,23.14%,1.25%,23.92%,1.82%,9.48%,1.53%,13.54%,1.57%,4.82%,1.65%,6.98%,1.42%,12.92%,1.91%,14.18%,4.17%,14.08%,8.67%,16.48%,2.72%,21.94%,2.58%,20.97%,2.23%,15.92%,2.35%,7.37%,1.01%,11.39%,2.13%,15.79%,1.92%,9.08%,1.82%,12.09%,0.99%,18.20%,2.78%,0.00%,15.79%,14.93%,2.00%,22.25%,2.81%,14.64%,2.01%,11.54%,2.12%,9.58%,2.06%,23.40%,14.80%,23.96%,3.32%,18.02%,1.36%,9.25%,7.87%
Master's degree,4.75%,0.88%,10.20%,0.90%,9.74%,1.47%,3.73%,0.88%,4.71%,0.93%,2.53%,1.24%,3.90%,0.85%,3.39%,0.83%,6.37%,2.99%,1.51%,2.55%,9.57%,2.01%,11.49%,1.98%,10.87%,1.25%,7.08%,1.41%,3.52%,0.82%,7.44%,1.91%,6.62%,1.08%,3.07%,0.83%,5.22%,0.83%,10.04%,1.96%,0.00%,15.79%,5.71%,1.12%,13.08%,1.76%,6.70%,1.45%,4.80%,1.37%,6.45%,1.83%,7.56%,6.93%,7.36%,2.08%,9.90%,1.09%,13.39%,8.20%
Professional school degree,1.05%,0.45%,2.21%,0.43%,1.85%,0.61%,0.75%,0.44%,0.96%,0.41%,1.26%,0.94%,0.65%,0.31%,1.09%,0.64%,2.58%,2.68%,1.43%,2.31%,2.17%,1.11%,3.12%,1.15%,4.73%,1.08%,1.74%,0.57%,0.48%,0.27%,1.00%,0.56%,2.54%,0.77%,0.59%,0.39%,0.68%,0.21%,4.12%,1.36%,0.00%,15.79%,0.69%,0.44%,5.32%,1.52%,0.57%,0.32%,0.39%,0.23%,0.40%,0.36%,3.36%,5.46%,2.52%,1.08%,1.73%,0.42%,1.79%,1.70%
Doctorate degree,0.32%,0.15%,1.51%,0.35%,1.49%,0.63%,0.81%,0.47%,0.69%,0.36%,0.11%,0.16%,0.21%,0.16%,0.24%,0.25%,1.66%,1.85%,0.00%,0.95%,1.67%,0.94%,1.36%,0.54%,3.20%,0.97%,0.80%,0.39%,0.63%,0.39%,1.58%,0.80%,1.04%,0.43%,0.11%,0.13%,0.65%,0.28%,3.34%,1.25%,0.00%,15.79%,0.35%,0.22%,2.65%,0.67%,0.52%,0.37%,0.17%,0.17%,0.42%,0.30%,0.00%,1.26%,1.61%,1.10%,2.27%,0.54%,1.54%,1.46%
* Base value of zero; no percentage available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
