zipcode,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
37013,4.00%,2.87%,3.36%,4.92%,4.63%,4.73%,4.91%,5.44%,4.91%,11.11%,12.67%,15.47%,9.96%,4.78%,3.40%,2.81%
37015,6.31%,3.84%,1.72%,6.22%,5.47%,6.77%,5.25%,4.15%,4.84%,10.77%,13.53%,13.53%,9.58%,4.41%,2.35%,1.26%
37027,2.31%,0.87%,1.23%,1.25%,1.27%,1.25%,1.58%,2.70%,2.37%,2.99%,6.19%,9.33%,10.86%,8.46%,14.22%,33.11%
37062,2.95%,3.02%,3.42%,3.47%,3.04%,3.07%,3.00%,5.35%,3.47%,8.14%,14.08%,15.97%,11.58%,8.47%,7.08%,3.91%
37064,3.56%,1.40%,2.88%,2.37%,2.81%,2.91%,3.33%,2.29%,2.62%,6.83%,8.24%,10.60%,10.80%,10.47%,11.06%,17.82%
37072,4.26%,3.29%,3.64%,5.38%,5.48%,4.04%,4.13%,4.53%,4.34%,8.74%,10.46%,17.44%,8.94%,6.26%,5.20%,3.88%
37073,4.29%,2.78%,3.12%,4.35%,5.35%,5.99%,5.20%,3.39%,5.31%,10.12%,10.27%,12.87%,11.43%,4.83%,7.35%,3.35%
37075,3.06%,1.74%,2.28%,2.83%,2.81%,4.06%,4.36%,3.91%,4.16%,8.45%,12.37%,14.41%,9.36%,9.08%,8.26%,8.88%
37076,4.01%,2.33%,3.60%,2.85%,5.44%,4.26%,5.24%,3.81%,5.28%,8.31%,12.34%,15.23%,9.83%,6.71%,6.86%,3.90%
37080,3.72%,3.95%,8.43%,4.35%,6.24%,3.55%,7.47%,3.35%,3.05%,8.76%,8.70%,12.75%,8.73%,5.35%,5.35%,6.24%
37082,3.87%,4.90%,4.94%,3.65%,3.10%,2.88%,7.27%,2.24%,2.67%,5.03%,10.66%,18.87%,9.37%,6.79%,8.08%,5.67%
37086,2.04%,3.03%,3.74%,2.44%,4.58%,3.76%,4.42%,6.54%,5.49%,9.58%,16.05%,16.28%,12.10%,3.80%,2.44%,3.72%
37115,4.92%,5.74%,5.70%,6.95%,7.32%,6.04%,6.67%,5.13%,6.48%,10.05%,11.19%,11.91%,6.29%,1.90%,1.99%,1.70%
37122,3.10%,1.76%,1.57%,2.42%,3.22%,2.11%,2.78%,3.12%,2.64%,5.59%,9.91%,17.01%,12.11%,10.32%,12.43%,9.89%
37135,1.25%,0.00%,0.98%,0.40%,1.83%,1.01%,5.18%,1.07%,1.79%,3.44%,9.65%,11.33%,11.19%,12.62%,19.10%,19.15%
37138,3.57%,2.61%,2.35%,3.76%,4.44%,3.23%,3.37%,7.29%,3.32%,7.44%,12.47%,16.57%,10.38%,7.32%,7.42%,4.47%
37143,5.15%,1.35%,1.68%,3.61%,2.77%,4.64%,3.48%,3.48%,2.32%,10.57%,13.85%,18.17%,9.60%,10.50%,4.96%,3.87%
37189,3.45%,0.07%,5.63%,3.38%,1.79%,2.72%,4.77%,1.92%,5.30%,7.49%,12.26%,18.62%,11.33%,9.54%,6.56%,5.17%
37201,11.79%,0.00%,0.00%,0.00%,3.42%,0.00%,0.00%,7.79%,0.00%,7.03%,17.11%,19.77%,3.42%,0.00%,16.92%,12.74%
37203,14.00%,5.64%,3.59%,3.99%,2.77%,2.81%,2.67%,3.64%,3.88%,10.75%,10.50%,13.22%,6.42%,3.87%,3.90%,8.34%
37204,4.60%,1.43%,2.13%,2.75%,3.61%,3.81%,4.63%,3.66%,4.13%,3.87%,8.84%,11.59%,10.50%,7.85%,8.19%,18.43%
37205,2.60%,2.31%,2.62%,1.58%,1.29%,3.73%,1.70%,2.94%,2.61%,5.63%,5.44%,13.40%,12.03%,6.53%,9.10%,26.50%
37206,8.30%,5.57%,4.54%,6.01%,3.42%,3.74%,4.29%,3.22%,3.06%,8.23%,9.41%,10.34%,8.81%,5.65%,8.73%,6.68%
37207,10.01%,5.70%,5.20%,6.65%,6.82%,6.02%,6.51%,5.43%,4.62%,6.19%,11.48%,11.62%,5.46%,4.82%,2.33%,1.14%
37208,16.96%,7.22%,5.42%,6.25%,4.65%,5.64%,3.89%,3.61%,3.26%,7.57%,6.12%,10.42%,4.83%,3.50%,6.25%,4.41%
37209,8.60%,5.37%,3.63%,4.19%,4.88%,4.11%,2.95%,5.84%,5.09%,8.24%,10.02%,11.65%,8.83%,5.53%,4.99%,6.09%
37210,16.29%,4.91%,6.66%,9.75%,5.70%,4.75%,5.10%,3.70%,2.60%,8.14%,8.08%,9.90%,5.44%,3.20%,2.48%,3.30%
37211,4.92%,3.90%,4.16%,4.19%,5.92%,4.62%,5.90%,4.79%,4.78%,9.23%,10.51%,14.84%,8.09%,5.69%,4.69%,3.76%
37212,5.99%,3.58%,4.66%,5.98%,2.93%,5.20%,3.71%,5.19%,2.40%,8.34%,5.72%,11.23%,6.08%,6.51%,9.36%,13.12%
37213,0.00%,0.00%,0.00%,0.00%,0.00%,54.55%,0.00%,0.00%,0.00%,0.00%,0.00%,45.45%,0.00%,0.00%,0.00%,0.00%
37214,3.58%,2.58%,4.18%,2.66%,4.35%,5.93%,4.30%,5.09%,5.12%,11.18%,14.47%,15.18%,10.20%,4.05%,4.46%,2.67%
37215,2.43%,1.79%,2.36%,1.86%,1.46%,4.82%,1.88%,2.33%,3.41%,3.47%,5.95%,9.07%,7.53%,8.37%,12.88%,30.38%
37216,4.04%,2.50%,5.74%,3.66%,2.65%,3.46%,7.69%,5.58%,6.11%,7.91%,8.82%,12.62%,13.18%,4.48%,6.51%,5.05%
37217,4.09%,3.79%,3.63%,5.18%,5.91%,7.08%,6.03%,8.51%,7.18%,9.62%,10.28%,15.19%,6.66%,3.79%,1.78%,1.28%
37218,11.67%,5.79%,5.65%,4.34%,2.39%,7.76%,5.40%,4.70%,4.95%,7.70%,8.93%,15.25%,7.31%,2.41%,2.85%,2.89%
37219,4.70%,0.00%,0.00%,0.00%,8.32%,5.79%,6.03%,0.00%,0.00%,1.57%,6.39%,23.76%,13.39%,12.42%,9.17%,8.44%
37220,0.35%,0.78%,2.03%,2.20%,1.55%,4.06%,0.69%,1.64%,2.55%,7.21%,7.04%,10.84%,10.49%,8.68%,8.72%,31.17%
37221,2.69%,2.27%,2.75%,2.68%,2.81%,3.37%,3.39%,4.30%,3.36%,7.68%,9.54%,15.14%,14.47%,7.16%,8.84%,9.55%
37228,8.85%,5.61%,19.31%,6.47%,4.95%,12.46%,1.33%,1.33%,2.47%,11.23%,17.13%,2.19%,1.43%,2.38%,1.24%,1.62%
